auc,precision,recall,f1,tn,fp,fn,tp,flagged_points,flagged_rate_%,n_eval,hybrid,configuration,thresholds,q_MP,q_Z,q_LOF,q_IF
0.622552890582522,0.3226703755215577,0.31955922865013775,0.32110726643598614,6054,487,494,232,719,9.894041557726709,7267,MP OR LOF OR IF,MP@p99 OR LOF@p99 OR IF@p92,"{'MP': 2.2699698509656385, 'LOF': 4.376959565620132, 'IF': 0.5192546708495505}",99,,99.0,92.0
0.6238560712404022,0.3151595744680851,0.32644628099173556,0.32070365358592695,6026,515,489,237,752,10.348149167469382,7267,MP OR Z OR IF,MP@p97 OR Z@p97 OR IF@p95,"{'MP': 2.1274994965344325, 'Z': 2.5133716943799493, 'IF': 0.5521145861141614}",97,97.0,,95.0
0.6301404406955408,0.2910112359550562,0.35674931129476584,0.32054455445544555,5910,631,467,259,890,12.247144626393284,7267,MP OR Z OR IF,MP@p98 OR Z@p97 OR IF@p92,"{'MP': 2.1902390667101694, 'Z': 2.5133716943799493, 'IF': 0.5192546708495505}",98,97.0,,92.0
0.6213276249029748,0.324822695035461,0.3154269972451791,0.32005590496156533,6065,476,497,229,705,9.701389844502545,7267,MP OR IF,MP@p95 OR IF@p95,"{'MP': 2.0441557230389535, 'IF': 0.5521145861141614}",95,,,95.0
0.6281485548035006,0.2955607476635514,0.3484848484848485,0.3198482932996207,5938,603,473,253,856,11.779276179991744,7267,MP OR IF,MP@p98 OR IF@p90,"{'MP': 2.1902390667101694, 'IF': 0.5088267634912716}",98,,,90.0
0.6329768617784073,0.2803738317757009,0.371900826446281,0.3197158081705151,5848,693,456,270,963,13.251685702490711,7267,MP OR Z OR IF,MP@p99 OR Z@p97 OR IF@p90,"{'MP': 2.2699698509656385, 'Z': 2.5133716943799493, 'IF': 0.5088267634912716}",99,97.0,,90.0
0.6258509052667577,0.2990314769975787,0.3402203856749311,0.31829896907216493,5962,579,479,247,826,11.366451080225678,7267,MP OR Z OR IF,MP@p95 OR Z@p98 OR IF@p95,"{'MP': 2.0441557230389535, 'Z': 2.724585907467929, 'IF': 0.5521145861141614}",95,98.0,,95.0
0.6322888935778262,0.2777777777777778,0.371900826446281,0.31802120141342755,5839,702,456,270,972,13.375533232420532,7267,MP OR Z OR IF,MP@p98 OR Z@p98 OR IF@p90,"{'MP': 2.1902390667101694, 'Z': 2.724585907467929, 'IF': 0.5088267634912716}",98,98.0,,90.0
0.6313693915429819,0.279874213836478,0.3677685950413223,0.31785714285714284,5854,687,459,267,954,13.127838172560892,7267,MP OR Z OR IF,MP@p97 OR Z@p97 OR IF@p92,"{'MP': 2.1274994965344325, 'Z': 2.5133716943799493, 'IF': 0.5192546708495505}",97,97.0,,92.0
0.6142024054249041,0.35813148788927335,0.28512396694214875,0.3174846625766871,6170,371,519,207,578,7.953763588826201,7267,MP OR LOF OR IF,MP@p99 OR LOF@p98 OR IF@p95,"{'MP': 2.2699698509656385, 'LOF': 2.973435120910082, 'IF': 0.5521145861141614}",99,,98.0,95.0
0.6289173861167301,0.2858719646799117,0.35674931129476584,0.3174019607843137,5894,647,467,259,906,12.467318012935186,7267,MP OR IF,MP@p95 OR IF@p92,"{'MP': 2.0441557230389535, 'IF': 0.5192546708495505}",95,,,92.0
